Station,Date_Time,Timezone,Temp,Spec_cond,Salinity,DO_pct,DO_conc,Depth,pH,Turbidity,Chlorophyll,Phycocyanin,Project,Comments
Beach Haven,2019-01-01 04:45:00,EST,7.91,41.69,26.46,99.4,10.01,2.48,8.08,17.47,,,BBP Real-time 2019,
Beach Haven,2019-01-01 05:00:00,EST,7.93,41.74,26.5,99,9.95,2.5,8.07,19.51,,,BBP Real-time 2019,
Beach Haven,2019-01-01 05:15:00,EST,7.99,41.78,26.53,99.4,9.98,2.52,8.07,16.65,,,BBP Real-time 2019,
Beach Haven,2019-01-01 05:30:00,EST,7.83,42.34,26.91,99,9.95,2.54,8.05,23.43,,,BBP Real-time 2019,
Beach Haven,2019-01-01 05:45:00,EST,7.84,42.59,27.08,98.6,9.89,2.56,8.05,12.42,,,BBP Real-time 2019,
Beach Haven,2019-01-01 06:00:00,EST,7.85,42.85,27.27,98.5,9.87,2.57,8.05,15.06,,,BBP Real-time 2019,
Beach Haven,2019-01-01 06:15:00,EST,7.87,43.21,27.52,98.8,9.88,2.57,8.05,14.75,,,BBP Real-time 2019,
Beach Haven,2019-01-01 06:30:00,EST,7.9,43.45,27.7,98.6,9.85,2.56,8.05,14.48,,,BBP Real-time 2019,
Beach Haven,2019-01-01 06:45:00,EST,7.94,43.59,27.8,98.6,9.83,2.55,8.05,13.65,,,BBP Real-time 2019,
Beach Haven,2019-01-01 07:00:00,EST,7.97,43.46,27.71,98.5,9.82,2.52,8.05,12.53,,,BBP Real-time 2019,
Beach Haven,2019-01-01 07:15:00,EST,7.96,43.05,27.42,98.6,9.84,2.49,8.05,12.79,,,BBP Real-time 2019,
Beach Haven,2019-01-01 07:30:00,EST,7.98,42.69,27.17,98.9,9.89,2.46,8.06,10.56,,,BBP Real-time 2019,
Beach Haven,2019-01-01 07:45:00,EST,8.01,42.37,26.95,99.6,9.96,2.44,8.05,10.43,,,BBP Real-time 2019,
Beach Haven,2019-01-01 08:00:00,EST,8.05,42.24,26.86,99.4,9.94,2.39,8.06,10.4,,,BBP Real-time 2019,
Beach Haven,2019-01-01 08:15:00,EST,8.07,42.04,26.72,100.1,10.02,2.36,8.06,10.07,,,BBP Real-time 2019,
Beach Haven,2019-01-01 08:30:00,EST,8.06,41.98,26.68,100,10.01,2.34,8.06,11.11,,,BBP Real-time 2019,
Beach Haven,2019-01-01 08:45:00,EST,8.1,41.82,26.57,100.7,10.08,2.32,8.06,12.05,,,BBP Real-time 2019,
Beach Haven,2019-01-01 09:00:00,EST,8.14,41.68,26.47,100.9,10.1,2.27,8.07,12.1,,,BBP Real-time 2019,
Beach Haven,2019-01-01 09:15:00,EST,8.18,41.6,26.42,101.5,10.15,2.24,8.07,13.36,,,BBP Real-time 2019,
Beach Haven,2019-01-01 09:30:00,EST,8.2,41.53,26.37,101.8,10.18,2.22,8.07,14.08,,,BBP Real-time 2019,
Beach Haven,2019-01-01 09:45:00,EST,8.24,41.39,26.28,102.3,10.22,2.18,8.08,15.28,,,BBP Real-time 2019,
Beach Haven,2019-01-01 10:00:00,EST,8.26,41.3,26.21,102.5,10.25,2.15,8.09,9.73,,,BBP Real-time 2019,
Beach Haven,2019-01-01 10:15:00,EST,8.28,41.22,26.16,102.8,10.27,2.12,8.1,16.45,,,BBP Real-time 2019,
Beach Haven,2019-01-01 10:30:00,EST,8.32,41.18,26.14,103.2,10.3,2.1,8.1,16.6,,,BBP Real-time 2019,
Beach Haven,2019-01-01 10:45:00,EST,8.36,41.18,26.13,103.5,10.33,2.08,8.1,19.67,,,BBP Real-time 2019,
Beach Haven,2019-01-01 11:00:00,EST,8.39,41.09,26.08,104,10.37,2.06,8.11,15.67,,,BBP Real-time 2019,
Beach Haven,2019-01-01 11:15:00,EST,8.42,41,26.01,104.5,10.43,2.04,8.12,18.92,,,BBP Real-time 2019,
Beach Haven,2019-01-01 11:30:00,EST,8.48,40.96,25.99,104.8,10.44,2.03,8.12,21.67,,,BBP Real-time 2019,
Beach Haven,2019-01-01 11:45:00,EST,8.5,40.91,25.96,105.1,10.47,2.01,8.12,24.65,,,BBP Real-time 2019,
Beach Haven,2019-01-01 12:00:00,EST,8.54,40.87,25.93,105.4,10.49,1.98,8.12,28.42,,,BBP Real-time 2019,
Beach Haven,2019-01-01 12:15:00,EST,8.56,40.79,25.88,105.9,10.53,1.98,8.13,31,,,BBP Real-time 2019,
Beach Haven,2019-01-01 12:30:00,EST,8.61,40.81,25.9,106.2,10.56,1.97,8.13,30.93,,,BBP Real-time 2019,
Beach Haven,2019-01-01 12:45:00,EST,8.63,40.77,25.87,106.7,10.6,1.97,8.14,31.09,,,BBP Real-time 2019,
Beach Haven,2019-01-01 13:00:00,EST,8.64,40.71,25.83,107.2,10.65,1.99,8.15,28.32,,,BBP Real-time 2019,
Beach Haven,2019-01-01 13:15:00,EST,8.66,40.61,25.76,107.5,10.68,2,8.15,24.82,,,BBP Real-time 2019,
Beach Haven,2019-01-01 13:30:00,EST,8.69,40.57,25.73,107.7,10.7,1.99,8.16,26.5,,,BBP Real-time 2019,
Beach Haven,2019-01-01 13:45:00,EST,8.7,40.49,25.68,108,10.73,2.01,8.16,27.38,,,BBP Real-time 2019,
Beach Haven,2019-01-01 14:00:00,EST,8.74,40.51,25.7,107.9,10.7,2.02,8.17,26.89,,,BBP Real-time 2019,
Beach Haven,2019-01-01 14:15:00,EST,8.77,40.53,25.71,107.9,10.7,2.06,8.17,25.94,,,BBP Real-time 2019,
Beach Haven,2019-01-01 14:30:00,EST,8.78,40.57,25.74,108,10.7,2.11,8.16,20.85,,,BBP Real-time 2019,
Beach Haven,2019-01-01 14:45:00,EST,8.79,40.64,25.79,107.7,10.66,2.1,8.15,28.16,,,BBP Real-time 2019,
Beach Haven,2019-01-01 15:00:00,EST,8.79,40.66,25.8,107.2,10.62,2.14,8.15,34.15,,,BBP Real-time 2019,
Beach Haven,2019-01-01 15:15:00,EST,8.79,40.68,25.81,107.7,10.67,2.17,8.16,34.72,,,BBP Real-time 2019,
Beach Haven,2019-01-01 15:30:00,EST,8.8,40.85,25.93,107.1,10.59,2.2,8.15,37.45,,,BBP Real-time 2019,
Beach Haven,2019-01-01 15:45:00,EST,8.8,40.78,25.89,107.1,10.6,2.23,8.15,35.66,,,BBP Real-time 2019,
Beach Haven,2019-01-01 16:00:00,EST,8.8,40.84,25.93,107.1,10.59,2.27,8.15,33.79,,,BBP Real-time 2019,
Beach Haven,2019-01-01 16:15:00,EST,8.8,40.85,25.93,106.7,10.56,2.3,8.15,33.65,,,BBP Real-time 2019,
Beach Haven,2019-01-01 16:30:00,EST,8.83,40.84,25.93,106.5,10.53,2.31,8.14,37.4,,,BBP Real-time 2019,
Beach Haven,2019-01-01 16:45:00,EST,8.86,40.92,25.99,106,10.47,2.35,8.14,33.98,,,BBP Real-time 2019,
Beach Haven,2019-01-01 17:00:00,EST,8.82,40.97,26.02,105.8,10.45,2.37,8.13,30.77,,,BBP Real-time 2019,
Beach Haven,2019-01-01 17:15:00,EST,8.81,40.85,25.93,105.9,10.47,2.4,8.14,30.46,,,BBP Real-time 2019,
Beach Haven,2019-01-01 17:30:00,EST,8.76,41.22,26.19,105.2,10.4,2.41,8.12,26.11,,,BBP Real-time 2019,
Beach Haven,2019-01-01 17:45:00,EST,8.77,41.31,26.25,105,10.37,2.43,8.11,24.24,,,BBP Real-time 2019,
Beach Haven,2019-01-01 18:00:00,EST,8.76,41.39,26.31,104.9,10.36,2.44,8.11,23.71,,,BBP Real-time 2019,
Beach Haven,2019-01-01 18:15:00,EST,8.75,41.45,26.35,104.7,10.34,2.45,8.11,16.66,,,BBP Real-time 2019,
Beach Haven,2019-01-01 18:30:00,EST,8.73,41.48,26.37,104.4,10.32,2.44,8.1,15.42,,,BBP Real-time 2019,
Beach Haven,2019-01-01 18:45:00,EST,8.72,41.47,26.36,104.1,10.29,2.43,8.1,14.88,,,BBP Real-time 2019,
Beach Haven,2019-01-01 19:00:00,EST,8.7,41.39,26.31,104.4,10.33,2.42,8.11,15.14,,,BBP Real-time 2019,
Beach Haven,2019-01-01 19:15:00,EST,8.64,41.21,26.18,103.9,10.3,2.39,8.12,14.67,,,BBP Real-time 2019,
Beach Haven,2019-01-01 19:30:00,EST,8.66,41.28,26.23,104.2,10.32,2.36,8.12,18.2,,,BBP Real-time 2019,
Beach Haven,2019-01-01 19:45:00,EST,8.63,41.13,26.12,104.2,10.33,2.32,8.12,15.26,,,BBP Real-time 2019,
Beach Haven,2019-01-01 20:00:00,EST,8.63,41.08,26.08,104.1,10.33,2.3,8.12,11.63,,,BBP Real-time 2019,
Beach Haven,2019-01-01 20:15:00,EST,8.61,41.03,26.05,104.1,10.33,2.27,8.13,19.89,,,BBP Real-time 2019,
Beach Haven,2019-01-01 20:30:00,EST,8.6,40.98,26.01,103.9,10.32,2.24,8.13,20.19,,,BBP Real-time 2019,
Beach Haven,2019-01-01 20:45:00,EST,8.59,40.9,25.96,104.1,10.34,2.21,8.13,20.47,,,BBP Real-time 2019,
Beach Haven,2019-01-01 21:00:00,EST,8.59,40.82,25.9,104,10.34,2.18,8.14,18.52,,,BBP Real-time 2019,
Beach Haven,2019-01-01 21:15:00,EST,8.6,40.72,25.83,104.3,10.37,2.14,8.15,19.35,,,BBP Real-time 2019,
Beach Haven,2019-01-01 21:30:00,EST,8.57,40.62,25.76,104.4,10.39,2.11,8.15,17.2,,,BBP Real-time 2019,
Beach Haven,2019-01-01 21:45:00,EST,8.56,40.48,25.66,104.6,10.42,2.08,8.16,19,,,BBP Real-time 2019,
Beach Haven,2019-01-01 22:00:00,EST,8.54,40.38,25.59,104.5,10.42,2.05,8.17,16.98,,,BBP Real-time 2019,
Beach Haven,2019-01-01 22:15:00,EST,8.51,40.26,25.5,104.7,10.45,2.02,8.17,17.27,,,BBP Real-time 2019,
Beach Haven,2019-01-01 22:30:00,EST,8.47,40.15,25.43,104.8,10.48,1.99,8.18,17.02,,,BBP Real-time 2019,
Beach Haven,2019-01-01 22:45:00,EST,8.44,40,25.32,105,10.52,1.96,8.19,17.18,,,BBP Real-time 2019,
Beach Haven,2019-01-01 23:00:00,EST,8.41,39.89,25.24,105,10.53,1.93,8.19,15.86,,,BBP Real-time 2019,
Beach Haven,2019-01-01 23:15:00,EST,8.39,39.77,25.16,105.1,10.54,1.91,8.2,15.09,,,BBP Real-time 2019,
Beach Haven,2019-01-01 23:30:00,EST,8.36,39.64,25.06,105,10.55,1.89,8.21,14.45,,,BBP Real-time 2019,
Beach Haven,2019-01-01 23:45:00,EST,8.33,39.5,24.97,105,10.57,1.87,8.21,15.21,,,BBP Real-time 2019,
Beach Haven,2019-01-02 00:00:00,EST,8.29,39.38,24.88,105,10.58,1.86,8.22,15.39,,,BBP Real-time 2019,
Beach Haven,2019-01-02 00:15:00,EST,8.26,39.27,24.8,104.8,10.57,1.85,8.22,14.35,,,BBP Real-time 2019,
Beach Haven,2019-01-02 00:30:00,EST,8.23,39.21,24.76,104.6,10.56,1.85,8.23,14.79,,,BBP Real-time 2019,
Beach Haven,2019-01-02 00:45:00,EST,8.21,39.14,24.71,104.5,10.56,1.85,8.23,7.46,,,BBP Real-time 2019,
Beach Haven,2019-01-02 01:00:00,EST,8.19,39.06,24.65,104.2,10.54,1.85,8.23,12.15,,,BBP Real-time 2019,
Beach Haven,2019-01-02 01:15:00,EST,8.18,39.03,24.63,103.8,10.51,1.87,8.23,12.63,,,BBP Real-time 2019,
Beach Haven,2019-01-02 01:30:00,EST,8.17,39,24.61,104,10.53,1.88,8.23,10.55,,,BBP Real-time 2019,
Beach Haven,2019-01-02 01:45:00,EST,8.15,38.98,24.59,103.6,10.5,1.92,8.24,12.02,,,BBP Real-time 2019,
Beach Haven,2019-01-02 02:00:00,EST,8.14,39.21,24.75,101.8,10.3,1.95,8.22,11.26,,,BBP Real-time 2019,
Beach Haven,2019-01-02 02:15:00,EST,8.12,39.18,24.73,102.1,10.34,1.99,8.22,11.63,,,BBP Real-time 2019,
Beach Haven,2019-01-02 02:30:00,EST,8.1,39.23,24.76,102.6,10.39,2.03,8.22,11.65,,,BBP Real-time 2019,
Beach Haven,2019-01-02 02:45:00,EST,8.07,39.32,24.82,102.2,10.35,2.07,8.21,12.2,,,BBP Real-time 2019,
Beach Haven,2019-01-02 03:00:00,EST,8.02,39.09,24.66,101.6,10.31,2.11,8.19,12.41,,,BBP Real-time 2019,
Beach Haven,2019-01-02 03:15:00,EST,7.99,39.08,24.65,101.4,10.3,2.14,8.19,13.33,,,BBP Real-time 2019,
Beach Haven,2019-01-02 03:30:00,EST,7.95,38.84,24.48,100.7,10.25,2.17,8.17,13.42,,,BBP Real-time 2019,
Beach Haven,2019-01-02 03:45:00,EST,7.96,39.15,24.7,100.8,10.25,2.22,8.17,12.42,,,BBP Real-time 2019,
Beach Haven,2019-01-02 04:00:00,EST,7.95,39.2,24.73,100.6,10.23,2.25,8.17,12.93,,,BBP Real-time 2019,
Beach Haven,2019-01-02 04:15:00,EST,7.96,39.37,24.85,100.3,10.19,2.28,8.16,12.8,,,BBP Real-time 2019,
Beach Haven,2019-01-02 04:30:00,EST,7.94,39.67,25.05,100.5,10.19,2.32,8.16,11.94,,,BBP Real-time 2019,
Beach Haven,2019-01-02 04:45:00,EST,7.91,39.6,25,100,10.16,2.36,8.15,13.84,,,BBP Real-time 2019,
Beach Haven,2019-01-02 05:00:00,EST,7.9,39.74,25.11,100.1,10.17,2.39,8.15,12.64,,,BBP Real-time 2019,
Beach Haven,2019-01-02 05:15:00,EST,7.89,39.74,25.1,100,10.15,2.41,8.14,13.88,,,BBP Real-time 2019,
Beach Haven,2019-01-02 05:30:00,EST,7.91,39.78,25.13,99.7,10.12,2.45,8.14,12.62,,,BBP Real-time 2019,
Beach Haven,2019-01-02 05:45:00,EST,7.89,39.8,25.14,99.5,10.1,2.47,8.14,13.2,,,BBP Real-time 2019,
Beach Haven,2019-01-02 06:00:00,EST,7.85,39.82,25.16,99.5,10.11,2.5,8.14,12.76,,,BBP Real-time 2019,
Beach Haven,2019-01-02 06:15:00,EST,7.82,39.81,25.15,99.2,10.09,2.51,8.12,13.9,,,BBP Real-time 2019,
Beach Haven,2019-01-02 06:30:00,EST,7.77,39.81,25.14,98.8,10.06,2.54,8.13,13.49,,,BBP Real-time 2019,
Beach Haven,2019-01-02 06:45:00,EST,8.16,41.05,26.03,97.9,9.82,2.55,8.05,,,,BBP Real-time 2019,
Beach Haven,2019-01-02 07:00:00,EST,8.16,41.34,26.23,98.9,9.91,2.55,8.05,19.6,,,BBP Real-time 2019,
Beach Haven,2019-01-02 07:15:00,EST,8.16,41.63,26.44,97.3,9.73,2.57,8.05,16.79,,,BBP Real-time 2019,
Beach Haven,2019-01-02 07:30:00,EST,8.14,41.96,26.67,98.7,9.86,2.56,8.05,14.17,,,BBP Real-time 2019,
Beach Haven,2019-01-02 07:45:00,EST,8.13,42.2,26.83,98.6,9.85,2.54,8.05,15.9,,,BBP Real-time 2019,
Beach Haven,2019-01-02 08:00:00,EST,7.92,40.78,25.83,99.1,10.01,2.52,8.08,13.02,,,BBP Real-time 2019,
Beach Haven,2019-01-02 08:15:00,EST,7.93,40.81,25.85,99.2,10.02,2.49,8.08,12.12,,,BBP Real-time 2019,
Beach Haven,2019-01-02 08:30:00,EST,7.82,40.41,25.56,99.7,10.11,2.47,8.1,15.82,,,BBP Real-time 2019,
Beach Haven,2019-01-02 08:45:00,EST,7.76,40.21,25.42,100.1,10.18,2.43,8.12,12.71,,,BBP Real-time 2019,
Beach Haven,2019-01-02 09:00:00,EST,7.76,40.05,25.31,100.5,10.22,2.4,8.12,12.3,,,BBP Real-time 2019,
Beach Haven,2019-01-02 09:15:00,EST,7.76,39.96,25.24,100.6,10.23,2.37,8.13,12.95,,,BBP Real-time 2019,
Beach Haven,2019-01-02 09:30:00,EST,7.74,39.87,25.18,100.7,10.26,2.34,8.13,13.18,,,BBP Real-time 2019,
Beach Haven,2019-01-02 09:45:00,EST,7.73,39.78,25.12,101.1,10.3,2.32,8.14,11.97,,,BBP Real-time 2019,
Beach Haven,2019-01-02 10:00:00,EST,7.68,39.58,24.98,101.8,10.39,2.29,8.16,12.97,,,BBP Real-time 2019,
Beach Haven,2019-01-02 10:15:00,EST,7.63,39.4,24.85,102,10.44,2.25,8.17,11.89,,,BBP Real-time 2019,
Beach Haven,2019-04-01 13:15:00,EST,8.81,43.02,27.47,102.9,10.02,1.55,8.01,5.29,,,BBP Real-time 2019,
Beach Haven,2019-04-01 13:30:00,EST,8.95,42.91,27.41,103.4,10.05,1.54,8.03,5.32,,,BBP Real-time 2019,
Beach Haven,2019-04-01 13:45:00,EST,9.05,42.88,27.39,104,10.09,1.54,8.04,5.41,,,BBP Real-time 2019,
Beach Haven,2019-04-01 14:00:00,EST,9.12,42.87,27.39,104.5,10.12,1.55,8.05,5.26,,,BBP Real-time 2019,
Beach Haven,2019-04-01 14:15:00,EST,9.2,42.8,27.34,104.8,10.14,1.57,8.06,5.2,,,BBP Real-time 2019,
Beach Haven,2019-04-01 14:30:00,EST,9.25,42.8,27.34,105.1,10.15,1.58,8.07,4.71,,,BBP Real-time 2019,
Beach Haven,2019-04-01 14:45:00,EST,9.29,42.77,27.33,104.9,10.13,1.6,8.07,4.77,,,BBP Real-time 2019,
Beach Haven,2019-04-01 15:00:00,EST,9.33,42.77,27.33,105.2,10.15,1.63,8.07,4.58,,,BBP Real-time 2019,
Beach Haven,2019-04-01 15:15:00,EST,9.33,42.93,27.44,105.5,10.17,1.65,8.08,4.61,,,BBP Real-time 2019,
Beach Haven,2019-04-01 15:30:00,EST,9.35,42.92,27.44,105.9,10.2,1.69,8.08,5.11,,,BBP Real-time 2019,
Beach Haven,2019-04-01 15:45:00,EST,9.36,42.93,27.44,106.2,10.23,1.71,8.08,4.58,,,BBP Real-time 2019,
Beach Haven,2019-04-01 16:00:00,EST,9.38,42.95,27.46,106.4,10.24,1.74,8.09,4.98,,,BBP Real-time 2019,
Beach Haven,2019-04-01 16:15:00,EST,9.37,43.02,27.51,106.8,10.28,1.77,8.1,4.83,,,BBP Real-time 2019,
Beach Haven,2019-04-01 16:30:00,EST,9.37,43.11,27.57,107.5,10.34,1.8,8.1,4.34,,,BBP Real-time 2019,
Beach Haven,2019-04-01 16:45:00,EST,9.36,43.21,27.64,108.2,10.41,1.84,8.11,4.72,,,BBP Real-time 2019,
Beach Haven,2019-04-01 17:00:00,EST,9.35,43.24,27.66,108.2,10.41,1.85,8.11,5.28,,,BBP Real-time 2019,
Beach Haven,2019-04-01 17:15:00,EST,9.29,43.25,27.66,107.8,10.38,1.89,8.11,4.69,,,BBP Real-time 2019,
Beach Haven,2019-04-01 17:30:00,EST,9.21,43.29,27.69,107,10.32,1.91,8.11,4.11,,,BBP Real-time 2019,
Beach Haven,2019-04-01 17:45:00,EST,9.18,43.34,27.72,107.2,10.34,1.94,8.11,4.48,,,BBP Real-time 2019,
Beach Haven,2019-04-01 18:00:00,EST,9.18,43.42,27.78,107.1,10.34,1.96,8.11,4.07,,,BBP Real-time 2019,
Beach Haven,2019-04-01 18:15:00,EST,9.16,43.48,27.81,106.8,10.3,1.98,8.11,3.92,,,BBP Real-time 2019,
Beach Haven,2019-04-01 18:30:00,EST,9.13,43.51,27.84,106.5,10.28,1.99,8.1,4.77,,,BBP Real-time 2019,
Beach Haven,2019-04-01 18:45:00,EST,9.02,43.62,27.91,105.8,10.23,2,8.1,4.37,,,BBP Real-time 2019,
Beach Haven,2019-04-01 19:00:00,EST,8.8,43.79,28.01,104.5,10.15,2.01,8.09,4.89,,,BBP Real-time 2019,
Beach Haven,2019-04-01 19:15:00,EST,8.68,43.86,28.05,103.7,10.1,2.03,8.09,5.33,,,BBP Real-time 2019,
Beach Haven,2019-04-01 19:30:00,EST,8.61,43.92,28.09,103.3,10.08,2.03,8.09,4.34,,,BBP Real-time 2019,
Beach Haven,2019-04-01 19:45:00,EST,8.5,43.98,28.13,102.8,10.05,2.04,8.09,3.83,,,BBP Real-time 2019,
Beach Haven,2019-04-01 20:00:00,EST,8.51,43.95,28.11,102.6,10.03,2.03,8.1,4.6,,,BBP Real-time 2019,
Beach Haven,2019-04-01 20:15:00,EST,8.62,43.88,28.07,102.8,10.03,2.01,8.11,3.91,,,BBP Real-time 2019,
Beach Haven,2019-04-01 20:30:00,EST,8.61,43.88,28.06,103,10.04,1.99,8.09,4.09,,,BBP Real-time 2019,
Beach Haven,2019-04-01 20:45:00,EST,8.4,44,28.14,101.6,9.95,1.96,8.08,4.01,,,BBP Real-time 2019,
Beach Haven,2019-04-01 21:00:00,EST,8.42,43.97,28.12,102,9.98,1.93,8.09,4.28,,,BBP Real-time 2019,
Beach Haven,2019-04-01 21:15:00,EST,8.43,43.9,28.07,102.2,10.01,1.91,8.09,4.28,,,BBP Real-time 2019,
Beach Haven,2019-04-01 21:30:00,EST,8.44,43.88,28.05,102.2,10.01,1.88,8.09,4.17,,,BBP Real-time 2019,
Beach Haven,2019-04-01 21:45:00,EST,8.46,43.79,27.99,102.3,10.01,1.85,8.09,4.27,,,BBP Real-time 2019,
Beach Haven,2019-04-01 22:00:00,EST,8.49,43.74,27.96,102.2,10.01,1.83,8.1,4.04,,,BBP Real-time 2019,
Beach Haven,2019-04-01 22:15:00,EST,8.5,43.68,27.92,102.1,9.99,1.8,8.1,3.9,,,BBP Real-time 2019,
Beach Haven,2019-04-01 22:30:00,EST,8.58,43.55,27.83,102.2,9.99,1.78,8.1,4.15,,,BBP Real-time 2019,
Beach Haven,2019-04-01 22:45:00,EST,8.62,43.46,27.77,102.1,9.98,1.75,8.1,3.97,,,BBP Real-time 2019,
Beach Haven,2019-04-01 23:00:00,EST,8.64,43.36,27.7,102,9.97,1.73,8.1,3.99,,,BBP Real-time 2019,
Beach Haven,2019-04-01 23:15:00,EST,8.67,43.27,27.64,102,9.97,1.7,8.11,3.89,,,BBP Real-time 2019,
Beach Haven,2019-04-01 23:30:00,EST,8.68,43.18,27.58,102,9.96,1.67,8.11,4.03,,,BBP Real-time 2019,
Beach Haven,2019-04-01 23:45:00,EST,8.67,43.13,27.54,101.9,9.96,1.65,8.11,3.88,,,BBP Real-time 2019,
Beach Haven,2019-04-02 00:00:00,EST,8.65,43.1,27.51,101.8,9.96,1.64,8.11,4.11,,,BBP Real-time 2019,
Beach Haven,2019-04-02 00:15:00,EST,8.63,43.07,27.5,101.7,9.96,1.62,8.11,3.72,,,BBP Real-time 2019,
Beach Haven,2019-04-02 00:30:00,EST,8.61,43.07,27.5,101.7,9.95,1.6,8.11,3.7,,,BBP Real-time 2019,
Beach Haven,2019-04-02 00:45:00,EST,8.59,43.06,27.49,101.5,9.94,1.58,8.11,3.82,,,BBP Real-time 2019,
Beach Haven,2019-04-02 01:00:00,EST,8.58,43,27.44,101.2,9.92,1.57,8.11,3.83,,,BBP Real-time 2019,
Beach Haven,2019-04-02 01:15:00,EST,8.57,42.96,27.41,101.1,9.91,1.57,8.11,3.73,,,BBP Real-time 2019,
Beach Haven,2019-04-02 01:30:00,EST,8.56,42.94,27.4,100.9,9.9,1.57,8.11,3.84,,,BBP Real-time 2019,
Beach Haven,2019-04-02 01:45:00,EST,8.56,42.93,27.39,100.7,9.88,1.57,8.11,3.7,,,BBP Real-time 2019,
Beach Haven,2019-04-02 02:00:00,EST,8.55,42.93,27.39,100.4,9.85,1.58,8.11,3.54,,,BBP Real-time 2019,
Beach Haven,2019-04-02 02:15:00,EST,8.54,42.92,27.38,100.1,9.82,1.61,8.11,3.3,,,BBP Real-time 2019,
Beach Haven,2019-04-02 02:30:00,EST,8.54,42.92,27.39,100.1,9.82,1.63,8.11,3.55,,,BBP Real-time 2019,
Beach Haven,2019-04-02 02:45:00,EST,8.45,43,27.43,99.7,9.81,1.66,8.1,3.43,,,BBP Real-time 2019,
Beach Haven,2019-04-02 03:00:00,EST,8.42,43.01,27.44,99.6,9.79,1.7,8.1,3.41,,,BBP Real-time 2019,
Beach Haven,2019-04-02 03:15:00,EST,8.38,43.04,27.45,99.4,9.79,1.73,8.1,3.72,,,BBP Real-time 2019,
Beach Haven,2019-04-02 03:30:00,EST,8.35,43.05,27.46,99.3,9.78,1.77,8.1,4.17,,,BBP Real-time 2019,
Beach Haven,2019-04-02 03:45:00,EST,8.3,43.11,27.5,99,9.76,1.8,8.1,3.46,,,BBP Real-time 2019,
Beach Haven,2019-04-02 04:00:00,EST,8.25,43.18,27.55,98.5,9.72,1.83,8.09,3.7,,,BBP Real-time 2019,
Beach Haven,2019-04-02 04:15:00,EST,8.18,43.24,27.58,97.9,9.67,1.87,8.08,3.78,,,BBP Real-time 2019,
Beach Haven,2019-04-02 04:30:00,EST,8.19,43.26,27.6,97.7,9.65,1.91,8.08,3.79,,,BBP Real-time 2019,
Beach Haven,2019-04-02 04:45:00,EST,8.16,43.27,27.6,97.5,9.63,1.94,8.08,3.58,,,BBP Real-time 2019,
